date,dailySteps,season,month,day,double
5/24/2020,9260,spring,5,Sunday,TRUE
5/25/2020,7438,spring,5,Monday,TRUE
5/26/2020,8884,spring,5,Tuesday,TRUE
5/27/2020,8972,spring,5,Wednesday,TRUE
5/28/2020,7609,spring,5,Thursday,TRUE
5/29/2020,8554,spring,5,Friday,
6/2/2020,7052,summer,6,Tuesday,
6/5/2020,7146,summer,6,Friday,TRUE
6/6/2020,7410,summer,6,Saturday,TRUE
6/7/2020,6206,summer,6,Sunday,TRUE
6/8/2020,6340,summer,6,Monday,
6/13/2020,7329,summer,6,Saturday,TRUE
6/14/2020,6831,summer,6,Sunday,
6/16/2020,7033,summer,6,Tuesday,
6/18/2020,7585,summer,6,Thursday,
6/20/2020,9590,summer,6,Saturday,
6/22/2020,5509,summer,6,Monday,TRUE
6/23/2020,12843,summer,6,Tuesday,TRUE
6/24/2020,6000,summer,6,Wednesday,TRUE
6/25/2020,10394,summer,6,Thursday,TRUE
6/26/2020,10856,summer,6,Friday,
6/28/2020,8332,summer,6,Sunday,TRUE
6/29/2020,9823,summer,6,Monday,TRUE
6/30/2020,10313,summer,6,Tuesday,
7/2/2020,12389,summer,7,Thursday,TRUE
7/3/2020,5930,summer,7,Friday,TRUE
7/4/2020,10226,summer,7,Saturday,TRUE
7/5/2020,8551,summer,7,Sunday,
7/7/2020,11511,summer,7,Tuesday,TRUE
7/8/2020,6034,summer,7,Wednesday,TRUE
7/9/2020,5733,summer,7,Thursday,TRUE
7/10/2020,7187,summer,7,Friday,TRUE
7/11/2020,7522,summer,7,Saturday,TRUE
7/12/2020,8445,summer,7,Sunday,
7/14/2020,10407,summer,7,Tuesday,
7/16/2020,10268,summer,7,Thursday,TRUE
7/17/2020,7671,summer,7,Friday,TRUE
7/18/2020,10106,summer,7,Saturday,TRUE
7/19/2020,8946,summer,7,Sunday,TRUE
7/20/2020,5964,summer,7,Monday,TRUE
7/21/2020,10254,summer,7,Tuesday,TRUE
7/22/2020,12412,summer,7,Wednesday,TRUE
7/23/2020,14746,summer,7,Thursday,TRUE
7/24/2020,6059,summer,7,Friday,TRUE
7/25/2020,8299,summer,7,Saturday,TRUE
7/26/2020,13055,summer,7,Sunday,
7/28/2020,12272,summer,7,Tuesday,TRUE
7/29/2020,8635,summer,7,Wednesday,TRUE
7/30/2020,9326,summer,7,Thursday,
8/4/2020,11332,summer,8,Tuesday,TRUE
8/5/2020,5724,summer,8,Wednesday,TRUE
8/6/2020,10500,summer,8,Thursday,TRUE
8/7/2020,6666,summer,8,Friday,TRUE
8/8/2020,9106,summer,8,Saturday,TRUE
8/9/2020,8859,summer,8,Sunday,
8/11/2020,16790,summer,8,Tuesday,TRUE
8/12/2020,6897,summer,8,Wednesday,TRUE
8/13/2020,17372,summer,8,Thursday,
8/15/2020,12707,summer,8,Saturday,TRUE
8/16/2020,15684,summer,8,Sunday,TRUE
8/17/2020,8837,summer,8,Monday,
8/20/2020,8596,summer,8,Thursday,TRUE
8/21/2020,9808,summer,8,Friday,TRUE
8/22/2020,11144,summer,8,Saturday,TRUE
8/23/2020,11478,summer,8,Sunday,TRUE
8/24/2020,7179,summer,8,Monday,TRUE
8/25/2020,13605,summer,8,Tuesday,TRUE
8/26/2020,11582,summer,8,Wednesday,
8/28/2020,7948,summer,8,Friday,TRUE
8/29/2020,8958,summer,8,Saturday,TRUE
8/30/2020,13675,summer,8,Sunday,TRUE
8/31/2020,6296,summer,8,Monday,TRUE
9/1/2020,10881,fall,9,Tuesday,
9/5/2020,13332,fall,9,Saturday,TRUE
9/6/2020,9973,fall,9,Sunday,
9/12/2020,10783,fall,9,Saturday,TRUE
9/13/2020,11735,fall,9,Sunday,TRUE
9/14/2020,6506,fall,9,Monday,TRUE
9/15/2020,13975,fall,9,Tuesday,
9/17/2020,6251,fall,9,Thursday,TRUE
9/18/2020,6805,fall,9,Friday,TRUE
9/19/2020,8373,fall,9,Saturday,
9/22/2020,15688,fall,9,Tuesday,
9/27/2020,11006,fall,9,Sunday,TRUE
9/28/2020,7356,fall,9,Monday,TRUE
9/29/2020,10638,fall,9,Tuesday,
10/3/2020,19457,fall,10,Saturday,TRUE
